,system,scenario,valuesize,type,ops,p99latency(ms)
0,FaaSKV(FaaS-GC),ycsba,64b,read,42617.48624676255,61.80093477120667
1,FaaSKV(FaaS-GC),ycsba,64b,write,36637.62593489276,63.480527826918326
2,FaaSKV(FaaS-GC),ycsba,256b,read,35978.2478465348,61.47760380065459
3,FaaSKV(FaaS-GC),ycsba,256b,write,37911.17321388012,69.23229606335869
4,FaaSKV(FaaS-GC),ycsba,512b,read,31167.684188881492,64.97199505521144
5,FaaSKV(FaaS-GC),ycsba,512b,write,28448.330247010625,66.21008868069339
6,FaaSKV(FaaS-GC),ycsba,1024b,read,29789.13797215549,72.49304537025952
7,FaaSKV(FaaS-GC),ycsba,1024b,write,28374.468868499214,80.49858601205727
8,FaaSKV(FaaS-GC),ycsba,4096b,read,13839.260875561193,91.12533732331605
9,FaaSKV(FaaS-GC),ycsba,4096b,write,15480.788631855245,114.09105697381118
10,FaaSKV(FaaS-GC),ycsbb,64b,read,180815.961736295,61.576648731597786
11,FaaSKV(FaaS-GC),ycsbb,64b,write,9438.128962084005,62.40899572045482
12,FaaSKV(FaaS-GC),ycsbb,256b,read,188929.80665005557,63.597982803188174
13,FaaSKV(FaaS-GC),ycsbb,256b,write,9326.739930333211,63.339196487695595
14,FaaSKV(FaaS-GC),ycsbb,512b,read,176711.7198340623,61.556669303811915
15,FaaSKV(FaaS-GC),ycsbb,512b,write,9703.17631317776,63.590243647337275
16,FaaSKV(FaaS-GC),ycsbb,1024b,read,148803.92117977666,68.15689718007705
17,FaaSKV(FaaS-GC),ycsbb,1024b,write,8701.080179780438,66.59446666495995
18,FaaSKV(FaaS-GC),ycsbb,4096b,read,111639.04192718797,69.87867262709337
19,FaaSKV(FaaS-GC),ycsbb,4096b,write,5293.855814321151,77.76816343647957
20,FaaSKV(FaaS-GC),ycsbe,64b,insert,1186.3480090698317,63.18882693745777
21,FaaSKV(FaaS-GC),ycsbe,64b,scan,22772.00870940144,81.2743527849765
22,FaaSKV(FaaS-GC),ycsbe,256b,insert,1000.8879519526043,67.57875426414088
23,FaaSKV(FaaS-GC),ycsbe,256b,scan,19712.837796849322,79.15667069613797
24,FaaSKV(FaaS-GC),ycsbe,512b,insert,844.0515975344856,65.37204728537547
25,FaaSKV(FaaS-GC),ycsbe,512b,scan,17039.97106141151,79.01830416632478
26,FaaSKV(FaaS-GC),ycsbe,1024b,insert,577.7436287941553,74.0107961775648
27,FaaSKV(FaaS-GC),ycsbe,1024b,scan,11739.495980777925,81.05063964821801
28,FaaSKV(FaaS-GC),ycsbe,4096b,insert,309.8606051593311,119.80199722086047
29,FaaSKV(FaaS-GC),ycsbe,4096b,scan,6372.303676342039,151.54265941937544
30,FaaSKV(FaaS-GC),ycsbf,64b,read,65917.90076407425,63.99312196712141
31,FaaSKV(FaaS-GC),ycsbf,64b,write,33820.291869408604,63.338051434254936
32,FaaSKV(FaaS-GC),ycsbf,64b,read-modify-write,36418.26952428789,69.66193575024292
33,FaaSKV(FaaS-GC),ycsbf,256b,read,61558.210464036485,65.08554400583375
34,FaaSKV(FaaS-GC),ycsbf,256b,write,30939.65934791778,64.45073866308775
35,FaaSKV(FaaS-GC),ycsbf,256b,read-modify-write,30647.83312978349,66.83308514843745
36,FaaSKV(FaaS-GC),ycsbf,512b,read,51348.39175607135,65.8810413674042
37,FaaSKV(FaaS-GC),ycsbf,512b,write,30213.996542546945,67.90829770961282
38,FaaSKV(FaaS-GC),ycsbf,512b,read-modify-write,25866.594040927346,69.22517690922746
39,FaaSKV(FaaS-GC),ycsbf,1024b,read,50650.438799068936,70.94901932034489
40,FaaSKV(FaaS-GC),ycsbf,1024b,write,25482.15245096533,74.1351826584242
41,FaaSKV(FaaS-GC),ycsbf,1024b,read-modify-write,25182.82374011085,88.96305766256881
42,FaaSKV(FaaS-GC),ycsbf,4096b,read,26882.827944131725,98.25518378915068
43,FaaSKV(FaaS-GC),ycsbf,4096b,write,14784.677068382876,103.05194095084914
44,FaaSKV(FaaS-GC),ycsbf,4096b,read-modify-write,13601.028244684832,112.04066441745611
