system,scenario,valuesize,type,ops,p99latency(ms)
FaaSKV(Host-GC),ycsba,64b,read,50341.3,0.944
FaaSKV(Host-GC),ycsba,64b,write,49753.4,1.696
FaaSKV(Host-GC),ycsba,256b,read,45266.5,1.959
FaaSKV(Host-GC),ycsba,256b,write,44755.5,5.303
FaaSKV(Host-GC),ycsba,512b,read,41592.9,2.837
FaaSKV(Host-GC),ycsba,512b,write,41194.7,5.359
FaaSKV(Host-GC),ycsba,1024b,read,36285.8,9.375
FaaSKV(Host-GC),ycsba,1024b,write,35824.8,19.967
FaaSKV(Host-GC),ycsba,4096b,read,19089.5,31.007
FaaSKV(Host-GC),ycsba,4096b,write,18936.1,54.367
FaaSKV(Host-GC),ycsbb,64b,read,223338.2,1.181
FaaSKV(Host-GC),ycsbb,64b,write,11647.6,2.359
FaaSKV(Host-GC),ycsbb,256b,read,223732.9,1.652
FaaSKV(Host-GC),ycsbb,256b,write,11726.5,2.669
FaaSKV(Host-GC),ycsbb,512b,read,214372.4,1.491
FaaSKV(Host-GC),ycsbb,512b,write,11214.6,2.405
FaaSKV(Host-GC),ycsbb,1024b,read,197772.5,5.615
FaaSKV(Host-GC),ycsbb,1024b,write,10425.6,6.687
FaaSKV(Host-GC),ycsbb,4096b,read,127722.8,8.879
FaaSKV(Host-GC),ycsbb,4096b,write,6719.5,16.087
FaaSKV(Host-GC),ycsbe,64b,insert,1464.5,2.121
FaaSKV(Host-GC),ycsbe,64b,scan,27787.7,19.007
FaaSKV(Host-GC),ycsbe,256b,insert,1311.2,5.539
FaaSKV(Host-GC),ycsbe,256b,scan,25136.3,17.279
FaaSKV(Host-GC),ycsbe,512b,insert,1108.9,5.807
FaaSKV(Host-GC),ycsbe,512b,scan,20916.2,16.591
FaaSKV(Host-GC),ycsbe,1024b,insert,794.8,13.375
FaaSKV(Host-GC),ycsbe,1024b,scan,15097.1,19.839
FaaSKV(Host-GC),ycsbe,4096b,insert,404.7,58.335
FaaSKV(Host-GC),ycsbe,4096b,scan,7654.4,90.559
FaaSKV(Host-GC),ycsbf,64b,read,84572.9,1.456
FaaSKV(Host-GC),ycsbf,64b,read-modify-write,42228.6,8.583
FaaSKV(Host-GC),ycsbf,64b,write,41835.6,2.941
FaaSKV(Host-GC),ycsbf,256b,read,76964.3,3.543
FaaSKV(Host-GC),ycsbf,256b,read-modify-write,38456.4,6.303
FaaSKV(Host-GC),ycsbf,256b,write,38121.8,4.195
FaaSKV(Host-GC),ycsbf,512b,read,70372,4.687
FaaSKV(Host-GC),ycsbf,512b,read-modify-write,35133.9,9.831
FaaSKV(Host-GC),ycsbf,512b,write,34830.5,5.563
FaaSKV(Host-GC),ycsbf,1024b,read,59747.3,9.295
FaaSKV(Host-GC),ycsbf,1024b,read-modify-write,29856.7,27.119
FaaSKV(Host-GC),ycsbf,1024b,write,29596.5,11.903
FaaSKV(Host-GC),ycsbf,4096b,read,33812.9,36.223
FaaSKV(Host-GC),ycsbf,4096b,read-modify-write,16888.2,51.231
FaaSKV(Host-GC),ycsbf,4096b,write,16730.6,41.919
